Key,English,Ελληνικά
tutorial_text,"Welcome to ePhyLi, your journey into Physical Literacy is going to start!","Καλώς ήρθατε στο ePhyLi, το ταξίδι σας στον Σωματικό Γραμματισμό ξεκινά!"
,,"Ξεκινήστε μια μοναδική αποστολή για να αλλάξετε τη ζωή σας μέσω της γνώσης και της δραστηριότητας. Περιηγηθείτε στις προκλήσεις και ξεκλειδώστε τα μυστικά ενός υγιεινού τρόπου ζωής. Ο στόχος σας δεν είναι μόνο να παίξετε, αλλά να εξελιχθείτε, μαθαίνοντας για τη σωματική υγεία και ευεξία. Επιλύστε εργασίες και προκλήσεις, κάντε σημαντικές επιλογές και καταγράψτε την πρόοδό σας σε έναν συναρπαστικό κόσμο όπου κάθε βήμα μετράει για τον απώτερο στόχο σας: την κατάκτηση του Σωματικού Γραμματισμού."
,"Embark on a unique mission to transform your life through knowledge and activity. Navigate through challenges, and unlock the secrets of a healthy lifestyle. Your task is not just to play but to evolve, learning about physical health and well-being. Solve tasks and challenges, make impactful choices, and chart your progress in an engaging world where every step counts towards your ultimate goal: mastering Physical Literacy.",
,,
,Ready to begin your adventure?,Έτοιμοι να ξεκινήσετε την περιπέτειά σας;
,,
ready_letsgo,"Yes, let's go!","Ναι, πάμε!"
tutorial_text_buddy,"Hi, I am your ePhyLi buddy, a virtual companion designed to guide and assist you throughout the game. Let me introduce you to the game with a brief tutorial.","Γεια σας, είμαι ο φίλος σας στο ePhyLi, ένας εικονικός σύντροφος που έχει σχεδιαστεί για να σας καθοδηγήσει και να σας βοηθήσει σε όλο το παιχνίδι. Επιτρέψτε μου να σας παρουσιάσω το παιχνίδι με ένα σύντομο οδηγό."
next,Next,Επόμενο
tutorialTextChallenges,Well done! Now I am going to explain how you can start playing. The game consists of several challenges that you must complete in order.,Μπράβο! Τώρα θα σας εξηγήσω πώς μπορείτε να ξεκινήσετε να παίζετε. Το παιχνίδι αποτελείται από διάφορες προκλήσεις που πρέπει να ολοκληρώσετε με τη σειρά.
,,
,"I have already unlocked the first challenge for you. Once you complete a challenge, the next will be unlocked. You can also gather badges through the challenges, or various other activities, by interacting with the various features of the app.","Έχω ήδη ξεκλειδώσει την πρώτη πρόκληση για εσάς. Μόλις ολοκληρώσετε μια πρόκληση, η επόμενη θα ξεκλειδωθεί. Μπορείτε επίσης να συγκεντρώσετε παράσημα μέσω των προκλήσεων ή διαφόρων άλλων δραστηριοτήτων, αλληλεπιδρώντας με τις διάφορες λειτουργίες της εφαρμογής."
exploreChallenges,"Ok, let's explore the challenges!","Εντάξει, ας εξερευνήσουμε τις προκλήσεις!"
challengesTextTutorial,"These are the challenges you must complete. Each of these challenges may consist of multiple activities, and once you complete all activities in a challenge, I will unlock the next challenge for you. Always remember to use my help if you get stuck in an activity, and remember to use the resources in the news and glossary sections.","Αυτές είναι οι προκλήσεις που πρέπει να ολοκληρώσετε. Κάθε μία από αυτές τις προκλήσεις μπορεί να αποτελείται από πολλές δραστηριότητες και μόλις ολοκληρώσετε όλες τις δραστηριότητες σε μια πρόκληση, θα ξεκλειδώσω την επόμενη πρόκληση για εσάς. Να θυμάστε πάντα να χρησιμοποιείτε τη βοήθειά μου αν κολλήσετε σε μια δραστηριότητα και να θυμάστε να χρησιμοποιείτε τις πηγές στις ενότητες «Νέα» και «Γλωσσάριο»."
,,
,Our tutorial is finished. I think you are ready to get started!,Ο οδηγός μας ολοκληρώθηκε. Νομίζω ότι είστε έτοιμοι να ξεκινήσετε!
challengesTextNormal,You have completed %1 out of %2 challenges so far. Would you like to try the next challenge?,Έχετε ολοκληρώσει %1 από τις %2 προκλήσεις μέχρι στιγμής. Θα θέλατε να δοκιμάσετε την επόμενη πρόκληση;
ok,OK,OK
newBadgeTitle,Badge collected,Συλλογή παράσημου
newBadgeText,Congratulations! You have received a new badge. Well done!,Συγχαρητήρια! Λάβατε νέο παράσημο. Μπράβο!
viewBadges,View badges,Προβολή παρασήμων
completed,Completed,Ολοκληρωμένο
activities,activities,Δραστηριότητες
challengesTextNormalInitial,Hey %1! It's time to get started! Would you like to try the next challenge?,Γεια σου %1! Ήρθε η ώρα να ξεκινήσετε! Θα θέλατε να δοκιμάσετε την επόμενη πρόκληση;
challengesTextFinishedAll,Congratulations! You have completed all the challenges. Would you like to replay any of them?,Συγχαρητήρια! Έχετε ολοκληρώσει όλες τις προκλήσεις. Θα θέλατε να επαναλάβετε κάποια από αυτές;
nextChallengeUnlocked,The next challenge has been unlocked.,Η επόμενη πρόκληση έχει ξεκλειδωθεί.
challengeLocked,This challenge is locked,Αυτή η πρόκληση είναι κλειδωμένη
challengeLockedMessage,This challenge is locked. Complete the previous challenges to unlock.,Αυτή η πρόκληση είναι κλειδωμένη. Ολοκληρώστε τις προηγούμενες προκλήσεις για ξεκλείδωμα.
activityLockedMessage,This activity is locked. Complete the previous activities to unlock.,Αυτή η δραστηριότητα είναι κλειδωμένη. Ολοκληρώστε τις προηγούμενες δραστηριότητες για να την ξεκλείδωσετε.
error,An error has occurred.,Παρουσιάστηκε σφάλμα.
lets_start,Let's start!,Ας ξεκινήσουμε!
resetGame,Reset game,Επαναφορά παιχνιδιού
areYouSure,Are you sure?,Είστε σίγουροι;
resetLoseProgressMessage,This will reset your current progress.,Αυτό θα επαναφέρει την τρέχουσα πρόοδό σας.
cancel,Cancel,Ακύρωση
finish,Finish,Ολοκλήρωση
gameOver,Game over,Τέλος παιχνιδιού
alreadyPlayedActivity,You have already participated in this activity. Would you like to replay it?,Έχετε ήδη συμμετάσχει σε αυτή τη δραστηριότητα. Θα θέλατε να την επαναλάβετε;
yes,Yes,Ναι
no,No,Όχι
unableToStartActivity,Error - This activity cannot be started.,Σφάλμα - Δεν είναι δυνατή η εκκίνηση αυτής της δραστηριότητας.
clickOnImageToZoom,Press the image to zoom in for more detail.,Πατήστε την εικόνα για μεγέθυνση για περισσότερες λεπτομέρειες.
clickToViewArticle,Click here to read the article,Κάντε κλικ εδώ για να διαβάσετε το άρθρο
clickOKToContinue,Click OK to continue,Κάντε κλικ στο OK για να συνεχίσετε
challenges_unlocked,%1 challenge(s) were unlocked!,%1 πρόκληση(εις) ξεκλειδώθηκαν!
screen_flip_notice,Your screen will change to landscape mode for this activity.,Η οθόνη σας θα αλλάξει σε οριζόντια λειτουργία για αυτήν τη δραστηριότητα.
drop_here,Drop here,Αφήστε το εδώ
available_cards,Available cards,Διαθέσιμες κάρτες
dragging,Dragging...,Τραβήξτε...
well_done,Well done!,Μπράβο!
try_again,Try again,Δοκίμασε ξανά
check_solution,Check solution,Ελέγξτε τη λύση
back,Back,Πίσω
pleaseTurnDevice,Please rotate your device.,Παρακαλώ περιστρέψτε τη συσκευή σας.
badges_view_title,Your badges,Τα παρασήματά σας
you_have_earned_badge,You have earned this badge. Well done!,Έχετε κερδίσει αυτό το παράσημο. Μπράβο!
save,Save,Αποθήκευση
glossary_instructions,This is a glossary - a list of terms related to physical literacy and their descriptions. Scroll through the list below to find the term you need and click it to view its description.,Αυτό είναι ένα γλωσσάριο - ένας κατάλογος όρων που σχετίζονται με τον σωματικό γραμματισμό και τις περιγραφές τους. Περιηγηθείτε στην παρακάτω λίστα για να βρείτε τον όρο που χρειάζεστε και κάντε κλικ σε αυτόν για να δείτε την περιγραφή του.
under_construction,Under construction,Υπό κατασκευή
enter_name,Enter your name,Εισάγετε το όνομά σας
pick_avatar,Customize your avatar,Προσαρμόστε το avatar σας
pick_buddy,Select your ePhyLi buddy,Επιλέξτε τον φίλο σας στο ePhyLi
help,Help,Βοήθεια
no_badges_yet,You have not earned any badges yet. Complete some challenges to earn badges.,Δεν έχετε κερδίσει ακόμα κανένα παράσημο. Ολοκληρώστε ορισμένες προκλήσεις για να κερδίσετε παράσημα.
about,About,Σχετικά με το
project_description,ePhyLi is an Erasmus+ Sport funded project that aims to promote physical literacy and healthy lifestyles through digital materials for university students.,Το ePhyLi είναι ένα έργο που χρηματοδοτείται από το Erasmus+ Sport και έχει ως στόχο την προώθηση του σωματικού γραμματισμού και του υγιεινού τρόπου ζωής μέσω ψηφιακού υλικού για φοιτητές πανεπιστημίων.
visit_website,Visit the project's website,Επισκεφθείτε την ιστοσελίδα του έργου
about_the_app,About the app,Σχετικά με την εφαρμογή
change_language,Change language,Αλλαγή γλώσσας
privacy_policy,Privacy policy,Πολιτική απορρήτου
c1a1_welcome,"Welcome to challenge 1. Match the concepts to the appropriate descriptions. Be careful! If you make five mistakes, the challenge will restart from the beginning. Ready?","Καλώς ήρθατε στην πρόκληση 1. Αντιστοιχίστε τις έννοιες με τις κατάλληλες περιγραφές. Προσοχή! Αν κάνετε πέντε λάθη, η πρόκληση θα ξεκινήσει ξανά από την αρχή. Έτοιμοι;"
c1a1_congrats,Well done! All concepts are correctly matched to the related descriptions.,Μπράβο! Όλες οι έννοιες έχουν αντιστοιχιστεί σωστά με τις σχετικές περιγραφές.
c1a1_reading_instruction,Read the scientific article extract reported below to start the next step of the challenge.,Διαβάστε το απόσπασμα του επιστημονικού άρθρου που αναφέρεται παρακάτω για να ξεκινήσετε το επόμενο βήμα της πρόκλησης.
c1a1_5mistakesReset,"You have made 5 mistakes, and the game will restart.",Έχετε κάνει 5 λάθη και το παιχνίδι θα επανεκκινηθεί.
c1a2_bubble1,Advances in technology and lifestyle changes,Πρόοδος στην τεχνολογία και αλλαγές στον τρόπο ζωής
c1a2_bubble2,minimize the need for physical interaction with the environment.,ελαχιστοποιήστε την ανάγκη για φυσική αλληλεπίδραση με το περιβάλλον.
c1a2_bubble3,"For example, public or private transport decreases the need for (physical) movement to get around.","Για παράδειγμα, τα δημόσια ή ιδιωτικά μέσα μεταφοράς μειώνουν την ανάγκη για (σωματική) μετακίνηση για να μετακινηθείτε."
c1a2_bubble4,This leads to an increased risk of developing pathologies.,Αυτό οδηγεί σε αυξημένο κίνδυνο ανάπτυξης παθολογιών.
c1a2_bubble5,"Sedentary behaviours affect health, but they also have profound implications for mental and emotional well-being.","Οι καθιστικές συμπεριφορές επηρεάζουν την υγεία, αλλά έχουν επίσης βαθιές επιπτώσεις στην ψυχική και συναισθηματική ευεξία."
c1a2_bubbles_instructions,Read and then press each bubble to reveal the next.,"Διαβάστε και, στη συνέχεια, πατήστε κάθε φούσκα για να αποκαλύψετε την επόμενη."
c1a2_finish,Rekindling our relationship with physical activity and the environment is imperative to leading a healthy and fulfilling life. Read this scientific article to find out more.,Η αναζωπύρωση της σχέσης μας με τη σωματική δραστηριότητα και το περιβάλλον είναι επιτακτική ανάγκη για μια υγιή και ικανοποιητική ζωή. Διαβάστε αυτό το επιστημονικό άρθρο για να μάθετε περισσότερα.
c2a1_intro_message,Welcome to the end of the XIX century. Arrange the cards on the golden timeline matching the concept of Physical Literacy with the historical data. Ready? Let's start!,Καλώς ήρθατε στο τέλος του XIX αιώνα. Τοποθετήστε τις κάρτες στο χρυσό χρονοδιάγραμμα ταιριάζοντας την έννοια του Σωματικού Αλφαβητισμού με τα ιστορικά δεδομένα. Έτοιμοι; Ας ξεκινήσουμε!
c2a1_term1,American Army Captain used the word “Physical Literacy” to describe the physicality or movement quality of an indigenous culture.,Αμερικανός λοχαγός του στρατού χρησιμοποίησε τη λέξη « Σωματικός Γραμματισμός» για να περιγράψει τη σωματική ικανότητα ή την ποιότητα της κίνησης ενός αυτόχθονου πολιτισμού.
c2a1_term2,"American educators stated: â€œWe must prepare for physical literacy as well as for mental literacyâ€, responding to an upcoming era of modernization and army recruitment.","Αμερικανοί εκπαιδευτικοί δήλωσαν: «Πρέπει να προετοιμαστούμε για σωματικό γραμματισμό καθώς και για νοητικό γραμματισμό», ανταποκρινόμενοι στην επερχόμενη εποχή του εκσυγχρονισμού και της στρατολόγησης."
c2a1_term3,Margaret Whitehead promotes discussion on the Physical Literacy concept.,Η Margaret Whitehead προωθεί τη συζήτηση σχετικά με την έννοια του Σωματικού Γραμματισμού.
c2a1_term4,The word 'Physical Literacy' was used to describe 'A disciplined command over the body'.,"Η λέξη «Σωματικός Γραμματισμός» χρησιμοποιήθηκε για να περιγράψει 'Μια πειθαρχημένη κυριαρχία πάνω στο σώμα'."""
c2a1_term5,Margaret Whitehead published a scientific article in the European Journal of Physical Education to promote an open debate on the Physical Literacy concept.,Η Margaret Whitehead δημοσίευσε ένα επιστημονικό άρθρο στο European Journal of Physical Education για να προωθήσει μια ανοιχτή συζήτηση σχετικά με την έννοια του σωματικού γραμματισμού.
c2a1_term6,"Holistic approach to the concept of Physical Literacy, identifying four dimensions: physical, emotional, social and cognitive dimensions.","Ολιστική προσέγγιση της έννοιας του Σωματικού Γραμματισμού, προσδιορίζοντας τέσσερις διαστάσεις: σωματική, συναισθηματική, κοινωνική και γνωστική διάσταση."
c2a1_finish_message,Well done! All the cards are correctly arranged! Let's move on to the next activity.,Μπράβο! Όλες οι κάρτες είναι σωστά διατεταγμένες! Ας προχωρήσουμε στην επόμενη δραστηριότητα.
c2a2_intro_message,"In recent years, different countries have adopted different definitions of physical literacy. In the following activity you must link the definition of physical literacy to the country in which it is adopted.","Τα τελευταία χρόνια, διαφορετικές χώρες έχουν υιοθετήσει διαφορετικούς ορισμούς του σωματικού γραμματισμού. Στην επόμενη δραστηριότητα πρέπει να συνδέσετε τον ορισμό του σωματικού γραμματισμού με τη χώρα στην οποία υιοθετείται."
c2a2_finish_message,Congratulations! You have finished this challenge!,Συγχαρητήρια! Ολοκληρώσατε αυτήν την πρόκληση!
c2a2_instruction,Who adopted the above definition? Click on the selection you think is correct.,Ποιος υιοθέτησε τον παραπάνω ορισμό; Κάντε κλικ στην επιλογή που θεωρείτε σωστή.
c2a2_term1,"Physical literacy can be described as the motivation, confidence, physical competence, knowledge, and understanding to value and take responsibility for engagement in physical activities for life.","Ο σωµατικός γραµµατισµός µπορεί να περιγραφεί ως το κίνητρο, η αυτοπεποίθηση, η σωµατική επάρκεια, η γνώση και η κατανόηση για την εκτίµηση και την ανάληψη ευθύνης για την ενασχόληση µε σωµατικές δραστηριότητες για όλη τη ζωή."
c2a2_term2,"Physical literacy is about building the skills, knowledge, and behaviors that give us the confidence and motivation to lead active lives.","Ο σωματικός γραμματισμός αφορά την ανάπτυξη των δεξιοτήτων, των γνώσεων και των συμπεριφορών που μας δίνουν την αυτοπεποίθηση και το κίνητρο να ζούμε μια δραστήρια ζωή."
c2a2_term3,"Physical literacy is the ability, confidence, and desire to be physically active for life.","Ο σωµατικός γραµµατισµός είναι η ικανότητα, η αυτοπεποίθηση και η επιθυµία να είµαστε σωµατικά δραστήριοι για όλη µας τη ζωή."
c2a2_term4,Physical literacy is our relationship with movement and physical activity throughout life.,Φυσικός γραμματισμός είναι η σχέση μας με την κίνηση και τη σωματική δραστηριότητα καθ' όλη τη διάρκεια της ζωής μας.
c2a2_option1,"IPLA, Ireland, Northern Ireland, Canada","IPLA, Ιρλανδία, Βόρεια Ιρλανδία, Καναδάς"
c2a2_option2,Australia,Αυστραλία
c2a2_option3,USA,Η.Π.Α
c2a2_option4,England,Αγγλία
c3a1_intro_message,"Arrange the cards in chronological order (top to bottom), matching the Jurbalaâ€™s spiral of physical literacy development. Ready?","Ταξινόμησε τις κάρτες με χρονολογική σειρά (από πάνω προς τα κάτω), σύμφωνα με την σπείρα ανάπτυξης του σωματικού γραμματισμού του Jurbala. Έτοιμοι;"
c3a1_activity_message,"Drag the cards to sort them in the correct order based on Jurbala’s spiral of physical literacy. The screen can be scrolled up or down to view all options. Click on the box to select it, then drag it.",Σύρε τις κάρτες για να τις τοποθετήσεις στη σωστή σειρά βάσει της σπείρας σωματικού γραμματισμού του Jurbala.
,,"Η οθόνη μπορεί να μετακινηθεί προς τα πάνω ή προς τα κάτω για να δείτε όλες τις επιλογές. Κάντε κλικ στο πλαίσιο για να το επιλέξετε και, στη συνέχεια, σύρετέ το."
c3a1_success,Well done! You sorted the cards correctly!,Μπράβο! Ταξινομήσατε σωστά τις κάρτες!
c3a1_fail,"{count, plural, =0{There are no mistakes.} =1{There is 1 mistake in the card order.} other{There are {count} mistakes in the card order.}}","{ αριθμός, πληθυντικός, =0{Δεν υπάρχουν λάθη.} =1{ Υπάρχει 1 λάθος στην ταξινόμηση των καρτών.} other{ Υπάρχουν {αριθμός} λάθη στην ταξινόμηση των καρτών.}}"
@c3a1_fail,"{'placeholders': {'count': {'type': 'num', 'format': 'compact'}}}","{'placeholders': {'count': {'type': 'num', 'format': 'compact'}}}"
c3a1_finish_message,"Congratulations, you have finished the challenge. Click 'Finish' to earn a badge!","Συγχαρητήρια, ολοκληρώσατε την πρόκληση. Κάντε κλικ στην επιλογή ''Ολοκλήρωση'' για να κερδίσετε ένα παράσημο!"
c3a1_term1,Enriched movement environment,Εμπλουτισμένο περιβάλλον κίνησης
c3a1_term2,Extensive developmental participation,Εκτεταμένη αναπτυξιακή συμμετοχή
c3a1_term3,Increased movement repertoire,Αυξημένο ρεπερτόριο κίνησης
c3a1_term4,Improved proficiency across repertoire,Βελτιωμένη επάρκεια σε όλο το ρεπερτόριο
c3a1_term5,Improved adaptability to new movements,Βελτιωμένη προσαρμοστικότητα σε νέες κινήσεις
c3a1_term6,Increased self-efficacy,Αυξημένη αυτο-αποτελεσματικότητα
c3a1_term7,Increased disposition to try new activities,Αυξημένη διάθεση για δοκιμή νέων δραστηριοτήτων
c3a1_term8,Increased success in new activities,Αυξημένη επιτυχία σε νέες δραστηριότητες
c3a1_term9,Retention in new activities,Διατήρηση σε νέες δραστηριότητες
c3a1_term10,Increased participation,Αυξημένη συμμετοχή
c3a1_term11,Improved health,Βελτίωση της υγείας
c3a1_term12,Improved quality of life,Βελτίωση της ποιότητας ζωής
c4a1_intro_message,Welcome to Challenge 4. You will be immersed in different real-life scenarios. Think about the factors or strategies that influence the motivation to engage in physical activity/movement. Ready?,Καλώς ήρθατε στην πρόκληση 4. Θα ασχοληθείτε με διάφορα σενάρια της πραγματικής ζωής. Σκεφτείτε τους παράγοντες ή τις στρατηγικές που επηρεάζουν τα κίνητρα για σωματική δραστηριότητα/κίνηση. Έτοιμοι;
c4a1_instruction_message,"It's a sunny Sunday. Decide which leisure activity would be best for a child. Click on the qualities shown on the screen for each activity, trying to identify which ones could be proposed to increase the child's Physical Literacy. Be careful! If you click on the wrong quality your selection will be reset. When you are finished, click 'Check solution' to check your solution.","Είναι μια ηλιόλουστη Κυριακή. Αποφασίστε ποια δραστηριότητα αναψυχής θα ήταν η καλύτερη για ένα παιδί. Κάντε κλικ στις ιδιότητες που εμφανίζονται στην οθόνη για κάθε δραστηριότητα, προσπαθώντας να εντοπίσετε ποιες από αυτές θα μπορούσαν να προταθούν για την αύξηση του Σωματικού Γραμματισμού του παιδιού. Προσοχή! Αν κάνετε κλικ σε λάθος ιδιότητα, η επιλογή σας θα μηδενιστεί. Όταν τελειώσετε, κάντε κλικ στο «Έλεγχος λύσης» για να ελέγξετε τη λύση σας."
c4a1_finish_message,Well done! You have completed the activity. Let's move on!,Μπράβο! Έχετε ολοκληρώσει τη δραστηριότητα. Ας προχωρήσουμε!
c4a1_category_funny,Funny,Αστείο
c4a1_category_social,Social,Κοινωνικό
c4a1_category_active,Active,Δραστήριο
c4a1_category_movements,Includes different movements,Περιλαμβάνει διαφορετικές κινήσεις
c4a1_term1,"Playing video games using tablet, smartphone or PC, or watching TV alone.","Παίζοντας βιντεοπαιχνίδια χρησιμοποιώντας tablet, smartphone ή υπολογιστή ή βλέποντας τηλεόραση μόνος του."
c4a1_term2,Playing cards with friends at home,Παίζοντας χαρτιά με φίλους στο σπίτι
c4a1_term3,Gardening with family members,Κηπουρική με μέλη της οικογένειας
c4a1_term4,Playing with dog,Παίζοντας με το σκύλο
c4a1_term5,Telling stories sitting on the sofa,Αφήγηση ιστοριών καθισμένοι στον καναπέ
c4a1_term6,Walking in the neighbourhood with family members,Περπάτημα στη γειτονιά με τα μέλη της οικογένειας
c4a2_instruction_message,It's a sunny elementary school day. Assume the role of a PE teacher and assign qualities to each activity to identify which ones could be proposed to your students to improve their Physical Literacy during the breaks.,Είναι μια ηλιόλουστη μέρα στο δημοτικό σχολείο. Αναλάβετε το ρόλο ενός καθηγητή φυσικής αγωγής και αναθέστε ιδιότητες σε κάθε δραστηριότητα για να εντοπίσετε ποιες από αυτές θα μπορούσαν να προταθούν στους μαθητές σας για να βελτιώσουν τη σωματική τους παιδεία κατά τη διάρκεια των διαλειμμάτων.
c4a2_term1,Playing with tablet and smartphone.,Παίζοντας με το tablet και το smartphone.
c4a2_term2,Drawing and painting,Σχεδίαση και ζωγραφική
c4a2_term3,Telling stories while sitting on the schoolyard,Αφήγηση ιστοριών καθισμένοι στην αυλή του σχολείου
c4a2_term4,Telling a story that requires children to imitate movements of animals,Αφήγηση μιας ιστορίας που απαιτεί από τα παιδιά να μιμηθούν τις κινήσεις των ζώων
c4a2_term5,Playing with a ball,Παίζοντας με μια μπάλα
c4a2_term6,Playing seek and hide,Παιχνίδι αναζήτησης και κρυφτό
c4a3_intro_message,"Our third scenario is based on the ecological model of the determinants of physical activity. In the next activity, you need to match each factor with its correct category.","Το τρίτο μας σενάριο βασίζεται στο οικολογικό μοντέλο των καθοριστικών παραγόντων της σωματικής δραστηριότητας. Στην επόμενη δραστηριότητα, πρέπει να αντιστοιχίσετε κάθε παράγοντα με τη σωστή κατηγορία του."
c4a3_instruction_message,Move the factor in the middle circle influencing engagement in physical activity to the outer circles.,Μετακινήστε τον παράγοντα που βρίσκεται στον μεσαίο κύκλο και επηρεάζει τη συμμετοχή στη σωματική δραστηριότητα στους εξωτερικούς κύκλους.
c4a3_info_message,Here is a quick reminder of how the model looks. You can click on the image to zoom in.,Ακολουθεί μια γρήγορη υπενθύμιση του πώς φαίνεται το μοντέλο. Μπορείτε να κάνετε κλικ στην εικόνα για να κάνετε μεγέθυνση.
c4a3_finish_message,Well done! You have completed the fourth challenge. Press 'Finish' to get your badge!,Μπράβο! Ολοκληρώσατε την τέταρτη πρόκληση. Πατήστε 'Ολοκλήρωση' για να λάβετε το παράσημό σας!
individual,Individual,Ατομικό
social_environment,Social environment,Κοινωνικό περιβάλλον
organizations_and_institutions,Organizations and institutions,Οργανισμοί και ιδρύματα
physical_environment,Physical environment,Φυσικό περιβάλλον
regional_or_national_policy,Regional or national policy,Περιφερειακή ή εθνική πολιτική
culture,Culture,Πολιτισμός
motivation,Motivation,Κίνητρο
beliefs,Beliefs,Πεποιθήσεις
sex,Sex,Φύλο
self_efficacy,Self-efficacy,Αυτο-αποτελεσματικότητα
family,Family,Οικογένεια
friends,Friends,Φίλοι
cultural_norms,Cultural norms,Πολιτιστικά πρότυπα
colleagues,Colleagues,Συνάδελφοι
schools,Schools,Σχολεια
community_clubs,Community Clubs,Κοινοτικές λέσχες
organizations,Organisations,Οργανισμοί
workplace,Workplace,Χώρος εργασίας
built_environment,Built environment,Δομημένο περιβάλλον
active_opportunities,Active travel opportunities ,Ενεργές ταξιδιωτικές ευκαιρίες 
parks_recreation,Parks and recreation facilities,Πάρκα και εγκαταστάσεις αναψυχής
natural_spaces,Natural spaces ,Φυσικοί χώροι 
transport_systems,Transport systems,Συστήματα μεταφορών
health_sector,Health sector,Τομέας της υγείας
education_school,Education and school sector,Εκπαίδευση και σχολικός τομέας
organized_sport,Organised sport sector,Τομέας οργανωμένου αθλητισμού
national,National,Εθνικός
local,Local,Τοπικός
c5a1_intro_message,Welcome to Challenge 5. You are challenged to complete the diagram which follows by filling in the missing elements. Ready?,Καλώς ήρθατε στην πρόκληση 5. Προκαλείστε να συμπληρώσετε το διάγραμμα που ακολουθεί συμπληρώνοντας τα στοιχεία που λείπουν. Έτοιμοι;
c5a1_finish_message,Well done! You have completed the fifth challenge. Press 'Finish' to get your badge!,Μπράβο! Ολοκληρώσατε την πέμπτη πρόκληση. Πατήστε ''Ολοκλήρωση'' για να λάβετε το παράσημό σας!
c5a1_instruction_title,Choose element,Επιλέξτε στοιχείο
c5a1_instruction_place,Click the element you would like to place in this area:,Κάντε κλικ στο στοιχείο που θέλετε να τοποθετήσετε σε αυτή την περιοχή:
c5a1_help,Click on the yellow boxes to fill in the empty parts of the diagram.,Κάντε κλικ στα κίτρινα πλαίσια για να συμπληρώσετε τα κενά μέρη του διαγράμματος.
currentElement,Selected element:,Επιλεγμένο στοιχείο:
c6a1_welcome,"Welcome to challenge 6. Match the concepts presented below to the appropriate descriptions. Be careful! If you make five mistakes, the challenge will restart from the beginning. Ready?","Καλώς ήρθατε στην πρόκληση 6. Αντιστοιχίστε τις έννοιες που παρουσιάζονται παρακάτω με τις κατάλληλες περιγραφές. Προσοχή! Αν κάνετε πέντε λάθη, η πρόκληση θα ξεκινήσει ξανά από την αρχή. Έτοιμοι;"
c6a1_congrats,Well done! All concepts are correctly matched to the related descriptions. Click 'Finish' to earn a badge.,Μπράβο! Όλες οι έννοιες έχουν αντιστοιχιστεί σωστά με τις σχετικές περιγραφές. Κάντε κλικ στο ''Ολοκλήρωση'' για να κερδίσετε ένα παράσημο.
